epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6585,3.50193,4.17938,4.30799,0.00207,0.3348,0.00201,0.00059,3.12114,3.90992,4.15844,0.00016,0.00016,0.00016
2,22.4162,3.35247,3.93211,4.25843,0.00201,0.32599,0.00249,0.00069,3.11972,3.91286,4.15688,0.000336634,0.000336634,0.000336634
3,27.7733,3.39354,3.6941,4.15081,0.00193,0.31278,0.00269,0.00076,3.11982,3.92815,4.15704,0.000509704,0.000509704,0.000509704
4,34.849,3.30048,3.40826,4.04515,0.00198,0.32159,0.00359,0.00081,3.12383,3.96071,4.16756,0.00067921,0.00067921,0.00067921
5,39.4369,3.24988,3.46805,3.90557,0.00211,0.3304,0.0047,0.0012,3.15075,3.95522,4.20479,0.000845152,0.000845152,0.000845152
6,43.706,3.31082,3.36528,3.7378,0.00221,0.33921,0.00442,0.00099,3.14173,3.89773,4.18817,0.00100753,0.00100753,0.00100753
7,50.6981,3.14922,3.29048,3.58642,0.00224,0.34361,0.00294,0.00079,3.11775,3.72942,4.17589,0.00116634,0.00116634,0.00116634
8,55.5412,3.20329,3.08077,3.56616,0.00225,0.34361,0.00276,0.00083,3.07412,3.6962,4.10263,0.00132159,0.00132159,0.00132159
9,59.9783,3.11776,3.1593,3.4031,0.00399,0.64317,0.00703,0.00201,2.97459,3.48084,3.9448,0.00147328,0.00147328,0.00147328
10,65.8505,2.99265,3.02394,3.33606,0.05855,0.10573,0.03128,0.0082,2.83996,3.08519,3.34187,0.0016214,0.0016214,0.0016214
11,71.7529,3.03501,3.02134,3.3476,0.02808,0.11013,0.01829,0.0051,2.92058,4.44725,3.53041,0.00176596,0.00176596,0.00176596
12,76.1052,2.94418,3.00855,3.29118,0.04149,0.14097,0.02604,0.00724,2.82,3.92943,3.48592,0.0017822,0.0017822,0.0017822
13,81.1304,2.86728,2.92693,3.1746,0.03279,0.10132,0.0113,0.00303,3.2188,10.7402,5.47228,0.0017624,0.0017624,0.0017624
14,88.252,2.87085,2.95285,3.18336,0.0358,0.10573,0.01131,0.00296,3.38047,9.3494,5.02622,0.0017426,0.0017426,0.0017426
15,92.4803,2.76007,2.82344,3.08811,0.01603,0.10573,0.00613,0.00164,3.2376,inf,31.1788,0.0017228,0.0017228,0.0017228
16,96.8261,2.70985,2.83975,3.03938,0.05834,0.04405,0.01352,0.00434,3.02356,4.25847,3.77856,0.001703,0.001703,0.001703
